# Ethyl Acetate  CAS 141-78-6
# source: NIST WebBook / Sadtler Research Labs Under US-EPA Contract
# STATE=gas  YUNITS=ABSORBANCE
# NOT QUANTITATIVE: no path length or concentration given.
# Absorbance scale is arbitrary -> positions and shapes only.
wavenumber_cm-1,absorbance_arbitrary
3726.0,1.799100e-03
3730.0,5.397300e-03
3734.0,6.296850e-03
3738.0,4.677660e-03
3742.0,2.518740e-03
3746.0,7.196400e-03
3750.0,3.598200e-03
3754.0,4.497750e-03
3758.0,3.958020e-03
3762.0,3.958020e-03
3766.0,3.778110e-03
3770.0,4.677660e-03
3774.0,3.238380e-03
3778.0,3.418290e-03
3782.0,1.259370e-03
3786.0,3.778110e-03
3790.0,4.677660e-03
3794.0,5.217390e-03
3798.0,3.778110e-03
3802.0,2.338830e-03
3806.0,6.296850e-03
3810.0,7.196400e-04
3814.0,2.518740e-03
3818.0,1.259370e-03
3822.0,4.497750e-03
3826.0,1.079460e-03
3830.0,2.158920e-03
3834.0,4.497750e-03
3838.0,4.497750e-03
3842.0,4.677660e-03
3846.0,3.058470e-03
3850.0,7.376310e-03
3854.0,1.799100e-03
3858.0,5.397300e-03
3862.0,3.418290e-03
3866.0,3.958020e-03
3870.0,3.058470e-03
3874.0,2.878560e-03
3878.0,2.518740e-03
3882.0,7.016490e-03
3886.0,5.217390e-03
3890.0,4.857570e-03
3894.0,7.376310e-03
3898.0,2.698650e-03
3902.0,3.418290e-03
3906.0,4.677660e-03
3910.0,1.619190e-03
3914.0,2.518740e-03
3918.0,5.397300e-04
3922.0,1.619190e-03
3926.0,0.000000e+00
3930.0,3.418290e-03
3934.0,3.238380e-03
3938.0,5.937030e-03
3942.0,8.995500e-04
3946.0,8.635680e-03
3950.0,5.577210e-03
3954.0,3.238380e-03
3958.0,3.418290e-03
3962.0,5.397300e-03
3966.0,2.338830e-03
